,Id_hotel,Hotel_name
97,71HJy751gmtcH,Hotel Hôtel Les Ambassadeurs
98,72Heqh78uf51H,Hotel Hôtel Narjisse
99,73HV1crxvldwH,Hotel Hôtel Racine
100,74HCua30noymH,Hotel Hôtel Riad Asfi
101,75HS32eyz93bH,Hotel Hôtel Riad Rahba
102,76HWeb6dl6euH,Hotel Hôtel Royal Urban Concept
103,77Hs86nsd1fcH,Hotel Hôtel Suite Martil
104,78HIc5nvtr8gH,Hotel Hôtel Tanger Med
105,79HPkro8a4pyH,Hotel Hôtel Teranga & Spa
106,7Aciipdu484H,Hotel Aymane ROOFTOP Hotel
107,80HLm2mfzsu7H,Hotel Hôtel Volubilis
108,81HH9t4wfiarH,Hotel Hôtel & Ryads Barrière Le Naoura
109,82IhkalwzoggH,Hotel Iberostar Founty Beach
110,83Ic5h8ldhhhH,Hotel Ibis Budget Fès
111,84Izvb04gvs7H,Hotel Ibis Casa Voyageurs
112,85Ilik3kn1osH,Hotel Ibis Casablanca City Center
113,86ILxd7jl1o2H,Hotel Ibis Casablanca Sidi Maarouf
114,87Iduuoj4pddH,Hotel Ibis Marrakech Centre Gare
115,88Ias51eidl3H,Hotel Ibis Marrakech Palmeraie
116,89Ihy34d1720H,Hotel Ibis Mohammedia
117,8BW5wwf3ox0H,Hotel Barcelo Casablanca
118,90ITbavgszrrH,Hotel Ibis Rabat Agdal
119,91Jw6a98gjh5H,Inn Jad Auberge
120,92Jzl1y2d3c8H,Inn Jardin de la source
121,93KKgm2nt5h4H,Hotel Kasbah Mohayut
122,94KfqkxmlnknH,Hotel Kasbah Sirocco
123,95KHfiabnis0H,Hotel Kenzi Europa
124,96Ktmwsb06rgH,Hotel Kyriad Residence Casablanca
125,97LAhx5cvdztH,Hotel Labranda Dunes D Or Resort
126,98LL11aouvhuH,Hotel Lyla Confort Restinga
127,99LFk3hime7vH,"Condo Hotel
L escale Appart-hôtel By 7AV HOTELS"
128,9Br0cdnw0uqH,Hotel Barceló Fés Medina
